Player,Pick,Minutes Played,DraftYear
Kenyon Martin,1,30.6,2000
Stromile Swift,2,19.8,2000
Darius Miles,3,26.3,2000
Marcus Fizer,4,20.9,2000
Mike Miller,5,26.9,2000
DerMarr Johnson,6,17.2,2000
Chris Mihm,7,20.1,2000
Jamal Crawford,8,29.4,2000
Joel Przybilla,9,19.8,2000
Keyon Dooling,10,19.4,2000
JÃ©rÃ´me MoÃ¯so,11,9.6,2000
Etan Thomas,12,17.3,2000
Courtney Alexander,13,21.7,2000
Mateen Cleaves,14,11.2,2000
Jason Collier,15,14.4,2000
Hedo TÃ¼rkoÄlu,16,26.8,2000
Desmond Mason,17,30.5,2000
Quentin Richardson,18,26.5,2000
Jamaal Magloire,19,21.5,2000
Speedy Claxton,20,25.6,2000
Morris Peterson,21,27.2,2000
Donnell Harvey,22,16.2,2000
DeShawn Stevenson,23,22.3,2000
Dalibor BagariÄ,24,10.2,2000
Jake Tsakalidis,25,15.9,2000
Mamadou N'Diaye,26,12.4,2000
PrimoÅ¾ Brezec,27,18.1,2000
Erick Barkley,28,9.9,2000
Mark Madsen,29,11.8,2000
Round 2,,Per Game,2000
Player,Pk,MP,2000
Marko JariÄ,30,25.2,2000
Dan Langhi,31,9.4,2000
A.J. Guyton,32,15.6,2000
Jake Voskuhl,33,14.3,2000
Khalid El-Amin,34,18.7,2000
Mike Smith,35,10.6,2000
Soumaila Samake,36,6.4,2000
Eddie House,37,17.3,2000
Eduardo NÃ¡jera,38,18.1,2000
Lavor Postell,39,7.3,2000
Hanno MÃ¶ttÃ¶lÃ¤,40,15.2,2000
Chris Carrawell,41,,2000
Olumide Oyedeji,42,6.3,2000
Michael Redd,43,32.0,2000
Brian Cardinal,44,14.2,2000
Jabari Smith,45,9.8,2000
DeeAndre Hulett,46,,2000
Josip Sesar,47,,2000
Mark Karcher,48,,2000
Jason Hart,49,15.5,2000
Kaniel Dickens,50,4.5,2000
Igor RakoÄeviÄ,51,5.8,2000
Ernest Brown,52,7.0,2000
Dan McClintock,53,9.7,2000
Cory Hightower,54,,2000
Chris Porter,55,22.5,2000
Jaquay Walls,56,,2000
Scoonie Penn,57,,2000
Pete Mickeal,58,,2000
Kwame Brown,1,22.1,2001
Tyson Chandler,2,27.3,2001
Pau Gasol,3,33.4,2001
